2023-03-19 20:26:17.787 [main] INFO  calculator.Calculator - [SQ ROOT] - 16.0
2023-03-19 20:26:17.789 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 4.0
2023-03-19 20:26:17.789 [main] INFO  calculator.Calculator - [SQ ROOT] - 1.0
2023-03-19 20:26:17.789 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.0
2023-03-19 20:26:17.789 [main] INFO  calculator.Calculator - [SQ ROOT] - 81.0
2023-03-19 20:26:17.789 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 9.0
2023-03-19 20:26:17.790 [main] INFO  calculator.Calculator - [SQ ROOT] - 36.0
2023-03-19 20:26:17.790 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 6.0
2023-03-19 20:26:17.790 [main] INFO  calculator.Calculator - [SQ ROOT] - 3.0
2023-03-19 20:26:17.790 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-19 20:26:17.790 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2023-03-19 20:26:17.791 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2023-03-19 20:26:17.791 [main] INFO  calculator.Calculator - [SQ ROOT] - 81.0
2023-03-19 20:26:17.791 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 9.0
2023-03-19 20:26:17.791 [main] INFO  calculator.Calculator - [SQ ROOT] - 36.0
2023-03-19 20:26:17.791 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 6.0
2023-03-19 20:26:17.792 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2023-03-19 20:26:17.792 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2023-03-19 20:26:17.793 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-19 20:26:17.793 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2023-03-19 20:26:17.793 [main] INFO  calculator.Calculator - [POWER - 3.0 RAISED TO] 3.0
2023-03-19 20:26:17.793 [main] INFO  calculator.Calculator - [RESULT - POWER] - 27.0
2023-03-19 20:26:17.794 [main] INFO  calculator.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-19 20:26:17.794 [main] INFO  calculator.Calculator - [RESULT - POWER] - 64.0
2023-03-19 20:26:17.794 [main] INFO  calculator.Calculator - [POWER - 5.0 RAISED TO] 3.0
2023-03-19 20:26:17.794 [main] INFO  calculator.Calculator - [RESULT - POWER] - 125.0
2023-03-19 20:26:17.794 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-19 20:26:17.795 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2023-03-19 20:26:17.795 [main] INFO  calculator.Calculator - [POWER - 1.0 RAISED TO] 3.0
2023-03-19 20:26:17.795 [main] INFO  calculator.Calculator - [RESULT - POWER] - 1.0
2023-03-19 20:26:17.795 [main] INFO  calculator.Calculator - [POWER - 3.0 RAISED TO] 4.0
2023-03-19 20:26:17.795 [main] INFO  calculator.Calculator - [RESULT - POWER] - 81.0
2023-03-19 20:26:17.796 [main] INFO  calculator.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-19 20:26:17.796 [main] INFO  calculator.Calculator - [RESULT - POWER] - 64.0
2023-03-19 20:26:17.796 [main] INFO  calculator.Calculator - [POWER - 5.0 RAISED TO] 2.0
2023-03-19 20:26:17.796 [main] INFO  calculator.Calculator - [RESULT - POWER] - 25.0
2023-03-19 20:26:17.797 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.4
2023-03-19 20:26:17.797 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-19 20:26:17.797 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.1
2023-03-19 20:26:17.797 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
